ts,frame,gid,disparity_px,z_m,d_left_m,d_right_m,cx_left,cx_right
1776509829.276,29,1,54.50,4.350,5.321,5.439,125.00,70.50
1776509830.911,30,2,437.50,0.542,0.543,0.588,896.50,459.00
1776509832.453,31,2,665.50,0.356,0.371,0.369,1300.00,634.50
1776509833.987,32,2,662.50,0.358,0.372,0.372,1290.50,628.00
1776509835.742,33,2,655.00,0.362,0.375,0.376,1284.00,629.00
1776509837.573,34,2,513.00,0.462,0.466,0.483,1114.50,601.50
1776509839.280,35,2,551.50,0.430,0.434,0.452,1125.50,574.00
1776509840.763,36,2,674.00,0.352,0.362,0.370,1243.00,569.00
1776509842.347,37,2,530.50,0.447,0.447,0.482,1014.00,483.50
1776509844.120,38,2,521.00,0.455,0.456,0.488,1024.50,503.50
1776509845.747,39,2,740.00,0.320,0.331,0.340,1274.50,534.50
1776509847.222,40,3,813.00,0.292,0.336,0.293,1639.50,826.50
1776509850.835,41,3,668.00,0.355,0.392,0.357,1514.00,846.00
1776509854.440,42,3,707.00,0.335,0.365,0.340,1470.00,763.00
